match_id,possession,first_event_id,first_event_index,first_player,first_position,first_start_x,first_end_x,n_actions_in_possession,n_distinct_players,validated_success_partial,validated_success_total,success_partial_start_action_number,success_partial_end_action_number,success_total_start_action_number,success_total_end_action_number,outcome_label
4005739,26,d63ad2ae-6ecf-51a7-9aae-b95b840f9e14,383,Justin de Haas,Left Center Back,20.6,34.4,21,7,True,False,3.0,5.0,,,success_partial
4005739,32,6449635e-9859-5b1d-8bf2-bf0565452d11,482,Justin de Haas,Left Center Back,27.2,14.5,20,6,True,True,11.0,13.0,14.0,16.0,success_total
4005739,37,3cbdb593-89d3-5fc8-8226-0fe70be65953,620,Lazar Carević,Goalkeeper,1.1,19.7,14,6,False,False,,,,,unsuccessful
4005739,61,7c7065a9-373d-5eec-8b7a-e907a7321996,888,Leonardo Javier Realpe Montaño,Right Center Back,10.8,7.2,10,4,False,False,,,,,unsuccessful
4005739,79,a57eab09-ff92-58ae-aa32-66d1860e7f40,1034,Justin de Haas,Left Center Back,17.4,11.0,7,3,False,False,,,,,unsuccessful
4005739,83,9785f279-59af-50ee-b88d-0d7c6ea10969,1077,Lazar Carević,Goalkeeper,6.8,22.7,18,6,True,True,2.0,4.0,6.0,8.0,success_total
4005739,87,f6d87df9-ab54-5813-bf6b-8d178356452f,1157,Lazar Carević,Goalkeeper,6.6,22.5,7,4,True,False,4.0,6.0,,,success_partial
4005739,101,2ea92e56-739d-5ddb-9c6e-1add357fd209,1411,Lazar Carević,Goalkeeper,8.6,25.3,8,5,True,False,3.0,5.0,,,success_partial
4005739,123,8fdb0aa3-afcc-59d4-8bcc-9a9d51c5d7b9,1850,Leonardo Javier Realpe Montaño,Right Center Back,37.2,35.8,5,3,True,False,3.0,5.0,,,success_partial
4005739,138,720fa2b9-7ac1-5871-805a-99142818b1c9,2050,Lazar Carević,Goalkeeper,7.0,15.4,4,3,False,False,,,,,unsuccessful
4005739,153,38f6d976-9ce2-5d47-ae40-92e76c7969be,2212,Lazar Carević,Goalkeeper,5.6,17.2,3,3,False,False,,,,,unsuccessful
4005739,159,918f23db-65a1-5722-b61e-d4577d8544ae,2284,Lazar Carević,Goalkeeper,10.9,23.6,5,3,False,False,,,,,unsuccessful
4005739,163,86c6f234-0d4a-5808-9a6e-ad6b793067b6,2339,Lazar Carević,Goalkeeper,13.7,21.4,10,8,True,True,7.0,9.0,7.0,9.0,success_total
4005739,174,279e8ec6-096f-5c82-a935-c80f2e2fecab,2461,Leonardo Javier Realpe Montaño,Right Center Back,31.0,14.3,11,5,True,True,8.0,10.0,9.0,11.0,success_total
